"Name","CostcoPrice","EbayPrice","EbayStDev","AmazonPrice","AmazonStDev"
"Freshwater 9 - 10 mm Cultured Pearl 14kt Yellow Gold Strand","679.99",null,null,null,null
"Hahn Copper Single Bowl Farmhouse Sink, 33""W x 22""L x 10.5""D","849.99",null,null,null,null
"Duracell LED Flashlight 350 Lumens, 4-pack","19.99",33.037142857142854,3.115567888091371,22,0
"FireKing 4-Drawer Insulated File Legal Vertical Parchment FIR 42131CPA","2,229.99",2493.54,0,null,null
"Simmons Kids BackCare Baby Starry Nights 2-in-1 Mattress","119.99",153.61,15.61999999999999,null,null
"Pendleton 5-piece Cal King Storage Bedroom Set","2,699.99",null,null,null,null
"Danby 2.6CuFt Black Compact Refrigerator | DAR026A1BDD","139.99",185.845,29.025000000000006,null,null
"Hudson 6-piece Queen Storage Bedroom Set","2,499.99",null,null,77,0
"Mckenzie Brown Twin-over-Twin Bunk Bed","799.99",null,null,null,null
"Dr. Jart+ Premium Beauty Balm SPF 45","28.99",29.347872340425535,19.45024573888083,43.333333333333336,26.329113585956936
"MW Mounts 42"" - 90"" Full-Motion TV Mount","119.99",139.99,0,116.995,49.995000000000005
"Nestlé® Coffee-mate® Sugar Free French Vanilla Liquid Creamer Singles 50ct","5.69",21.3,1.1658759225006163,null,null
"Sleep Science Twin XL Adjustable Base","999.99",null,null,1399.19,0
"Artistic Inspirations Handcrafted 5 ft. x 8 ft. Panja Weave Rug - Y Pattern","159.99",null,null,267,0
"Epoch Design Nightstand ","199.99",null,null,null,null
"Mikasa Kim Parker Tulips 16-pc Dinnerware Set","49.99",61.164,5.43505878533066,103.67,17.67
"Innovera Remanufactured For Canon CLI-8 Cyan Ink Cartridge 3PK","25.99",null,null,58,0
"Ancona B428 28"" Built-In Range Hood  AN-1305","189.99",334.89,0,256,0
"Hirsh 26.5"" 4-Drawer Vertical File 3-pack - Putty","549.99",null,null,null,null
"Dixie Cold Drink Cup 3oz 1,200ct ","41.99",null,null,9.02,0
"Fellowes 7502301 Waterfall File Sorter Dark Graphite","11.79",23.935000000000002,9.04202549211182,17,0
"AcuRite Pro 5-in-1 Weather Station with my AcuRite Remote Monitoring","139.99",180.28,13.211480802695814,79,0
"Hirsh Mobile Pedestal 2-drawer File, Black","129.99",270.71,0,null,null
"Oakdale Upholstered King Headboard in Charcoal","349.99",null,null,131,20
"Emerald Cut 2.02 ct VS1 Clarity D Color Diamond Platinum Solitaire Ring","27,999.99",null,null,null,null
"Reese Queen/Full Upholstered Headboard - Flax Gold","289.99",null,null,null,null
"Sleep Science 9"" Cal King Latex GL Mattress","2,199.99",null,null,674,0
"Merritt 42"" Round Conference Table, Bookcase and Lateral File","649.99",795.87,0,null,null
"Kirkland Signature Hair Regrowth Treatment Minoxidil Foam for Men","44.99",68.86736842105265,29.334658384724314,12,0
"Amanda Queen/Full Upholstered Headboard - Cream","269.99",null,null,null,null
"Adirondack Collection by Leisure Line","59.99",null,null,null,null
"Round Brilliant 5.00 ctw VS2 Clarity, I Color Diamond 14kt White Gold Bracelet","4,999.99",null,null,null,null
"Whirlpool 27CuFt 36-inch Wide 3-Door French Door Refrigerator in Stainless Steel","2,299.99",null,null,null,null
"Daniele Inc. Gourmet on the Go Snack Packs 12-pack","69.99",null,null,null,null
"The Fruit Company Organic Fruit Gift Box","36.99",62.865,21.275,41,17
"FireKing 4-Drawer Insulated File Legal Vertical Black ","2,239.99",2546.42,198.23000000000002,2049,0
"Eco Kloud 16 oz Hot & Cold Compostable PLA Paper Cups 1000 ct","94.99",115.71,0,151.5,18.5
"Pendleton 5-piece King Storage Bedroom Set","2,699.99",null,null,null,null
"Royal Heritage Home Soho NY Peony 8-pc Comforter Set","134.99",null,null,169.745,83.91200793092726
"Aston 10' x 7.5'  Wood Shed","1,399.99",null,null,1999,0
"Tanzanite Stud Earrings 14kt White Gold","999.99",487.1499999999999,751.8631054079488,null,null
"SafeRacks 4 ft. x 8 ft. Overhead Garage Storage Rack and Accessories kit","199.99",289.99,10,149,8.16496580927726
"Sleep Science 10"" King Memory Foam Mattress","699.99",1482.5,1162.5,598.7149999999999,149.71499999999997
"Citizen Eco-Drive Two-Tone Stainless Steel Men's Chronograph Watch","199.99",281.9759090909091,154.6566649552571,296,0
"Quincy Stacking Chair 40-pack with Storage Cart","2,999.99",3354.43,0,null,null
"Square Emerald Cut 1.72 ct VVS2 Clarity H Color Diamond Platinum Solitaire Ring","11,999.99",null,null,null,null
"Xerox 108R00926 Solid Ink Stick Cyan 2ct","153.99",1208.0633333333335,643.2142839071767,192,47
"Arvada 9-piece Modular Seating Set ","5,999.99",null,null,null,null
"HON 38000 Series 72"" Left Pedestal Credenza Harvest/Putty ","719.99",712.52,40.078977864544754,601.5,141.5
"Reserve 7-piece Seating Set","2,999.99",3354.43,0,113.5,0
"ESCAPE 14.5""  Luxury Memory Foam Cal King Mattress","2,199.99",null,null,null,null
